customerID,Churn,gender,IsSeniorCitizen,HasPartner,HasDependents,TenureMonths,HasPhoneService,MultipleLinesStatus,InternetServiceType,OnlineSecurityStatus,OnlineBackupStatus,DeviceProtectionStatus,TechSupportStatus,StreamingTVStatus,StreamingMoviesStatus,ContractType,IsPaperlessBilling,PaymentMethodType,MonthlyCharges,TotalCharges,DailyCharges
0002-ORFBO,0,0,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,1,Mailed check,0.47114427860696506,0.06629356104315716,0.015477801531109232
0003-MKNFE,0,1,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,0.4144278606965174,0.060420032310177715,0.013614581494629348
0004-TLHLJ,1,1,0,0,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,0.5537313432835821,0.03023886452804062,0.018190911408790474
0011-IGKFF,1,1,1,1,0,13,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,0.7935323383084577,0.14067043618739902,0.0260687364753107
0013-EXCHZ,1,0,1,1,0,3,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,0.6532338308457711,0.028686822063235633,0.021459718490334137
0013-MHZWF,0,0,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),0.5089552238805971,0.06377221324717287,0.01671994822209583
0013-SMEOE,0,0,1,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),0.9099502487562189,0.9099296099699977,0.029893240760716783
0014-BMAQU,0,1,0,1,0,63,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,1,Credit card (automatic),0.6606965174129353,0.6183937225940457,0.02170487902144991
0015-UOCOJ,0,0,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,0.2980099502487562,0.03710477729056082,0.009790077209223265
0016-QLJIS,0,0,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,0.718407960199005,0.6853334871913224,0.023600787128745235
0017-DINOC,0,1,0,0,0,54,0,No,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),0.2681592039800995,0.28176205861989384,0.008809435084760167
0017-IUDMW,0,0,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),0.980597014925373,0.9736845141933995,0.03221409378861278
